Date,ITCRM ,ITCRB Brasil,ITCRB Estados Unidos
2000-07-16,73.508,82.4424225,77.1085014
2000-07-17,73.258,82.4733867,77.1049341
2000-07-18,73.585,84.1158765,77.1013669
2000-07-19,73.451,84.1474692,77.0977998
2000-07-20,73.651,84.1790738,77.094233
2000-07-21,73.768,84.2106902,77.0906662
2000-07-22,73.773,84.2423186,77.0870997
2000-07-23,73.777,84.2739587,77.0835333
2000-07-24,73.652,84.2584752,77.0799671
2000-07-25,73.656,84.2901215,77.076401
2000-07-26,73.661,84.3217797,77.0728352
2000-07-27,73.636,84.3534497,77.0692694
2000-07-28,73.451,84.3851316,77.0657039
2000-07-29,73.455,84.4168255,77.0621385
2000-07-30,73.46,84.4485312,77.0585733
2000-07-31,73.496,84.4802488,77.0550082
2000-08-01,73.454,84.9956333,77.0603623
2000-08-02,73.329,85.0372299,77.0657168
2000-08-03,73.151,85.0788469,77.0710716
2000-08-04,73.194,85.1204842,77.0764268
2000-08-05,73.211,85.1621419,77.0817824
2000-08-06,73.227,85.20382,77.0871384
2000-08-07,73.276,85.2455185,77.0924947
2000-08-08,73.293,85.2872373,77.0978514
2000-08-09,73.138,85.3289767,77.1032085
2000-08-10,73.291,85.3707364,77.1085659
2000-08-11,73.335,85.4125166,77.1139237
2000-08-12,73.352,85.4543172,77.1192819
2000-08-13,73.369,85.4961383,77.1246405
2000-08-14,73.307,85.5379798,77.1299994
2000-08-15,73.495,85.5798418,77.1353587
2000-08-16,73.563,85.6217243,77.1407184
2000-08-17,73.577,85.6636273,77.1460785
2000-08-18,73.415,85.7055508,77.1514389
2000-08-19,73.432,85.7474949,77.1567997
2000-08-20,73.449,85.7894594,77.1621609
2000-08-21,73.465,85.8314445,77.1675224
2000-08-22,73.255,85.8734502,77.1728843
2000-08-23,72.932,84.2615117,77.1782466
2000-08-24,73.078,84.302749,77.1836093
2000-08-25,73.069,84.3440065,77.1889723
2000-08-26,73.085,84.3852842,77.1943357
2000-08-27,73.102,84.4265821,77.1996995
2000-08-28,73.119,84.4679002,77.2050636
2000-08-29,72.955,84.3700427,77.2104281
2000-08-30,72.898,84.4113331,77.215793
2000-08-31,72.811,84.4526438,77.2211583
